Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,0.021908,0.021987,0.021314,0.021966,0.021966,705344235
2021-01-01,0.021964,0.022456,0.021757,0.022163,0.022163,609236708
2021-01-02,0.022158,0.023004,0.021858,0.022430,0.022430,808331904
2021-01-03,0.022436,0.024514,0.021925,0.024077,0.024077,1221770740
2021-01-04,0.024102,0.026273,0.022179,0.025181,0.025181,1443615170
2021-01-05,0.025170,0.025216,0.022205,0.023281,0.023281,1394687073
2021-01-06,0.023286,0.025087,0.022796,0.024731,0.024731,1326253081
2021-01-07,0.024742,0.027143,0.024446,0.025322,0.025322,1780231709
2021-01-08,0.025332,0.025543,0.023603,0.025041,0.025041,1485619677
2021-01-09,0.025037,0.029136,0.024295,0.027833,0.027833,1588928210
2021-01-10,0.027839,0.030025,0.025741,0.027024,0.027024,1836629302
2021-01-11,0.027016,0.027016,0.022281,0.023817,0.023817,1529476410
2021-01-12,0.023811,0.024913,0.023055,0.023392,0.023392,1589243854
2021-01-13,0.023388,0.024828,0.022787,0.024828,0.024828,977365314
2021-01-14,0.024830,0.025435,0.024183,0.024698,0.024698,1009302983
2021-01-15,0.024714,0.025822,0.023661,0.024661,0.024661,1171401250
2021-01-16,0.024655,0.025702,0.024445,0.024962,0.024962,1059055208
2021-01-17,0.024955,0.025318,0.024220,0.024979,0.024979,837859402
2021-01-18,0.024987,0.026644,0.024639,0.026179,0.026179,922404569
2021-01-19,0.026180,0.026574,0.025365,0.025366,0.025366,912230566
2021-01-20,0.025349,0.025637,0.024146,0.025182,0.025182,967775756
2021-01-21,0.025185,0.025204,0.022773,0.022773,0.022773,1087078651
2021-01-22,0.022764,0.023780,0.021733,0.023527,0.023527,1233868078
2021-01-23,0.023515,0.024180,0.023131,0.023974,0.023974,748515961
2021-01-24,0.023980,0.025165,0.023854,0.024673,0.024673,832738696
2021-01-25,0.024670,0.026614,0.024327,0.024342,0.024342,1188531414
2021-01-26,0.024336,0.024671,0.023532,0.024262,0.024262,739225977
2021-01-27,0.024262,0.024266,0.022870,0.023403,0.023403,950278145
2021-01-28,0.023401,0.024705,0.023206,0.024460,0.024460,631732344
2021-01-29,0.024774,0.035280,0.024279,0.027431,0.027431,3969268670
2021-01-30,0.027448,0.027559,0.025364,0.026387,0.026387,1619929634
2021-01-31,0.026394,0.028450,0.025566,0.026070,0.026070,1506220855
2021-02-01,0.026061,0.028647,0.025796,0.027285,0.027285,1580917887
2021-02-02,0.027287,0.027757,0.026790,0.027543,0.027543,1207471312
2021-02-03,0.027547,0.029179,0.027547,0.028600,0.028600,1092529980
2021-02-04,0.028601,0.028737,0.026982,0.027724,0.027724,1325019213
2021-02-05,0.027719,0.030232,0.027672,0.030091,0.030091,1408273246
2021-02-06,0.030081,0.030096,0.027964,0.029136,0.029136,1562357833
2021-02-07,0.029135,0.030834,0.028356,0.029856,0.029856,1552955677
2021-02-08,0.029844,0.034580,0.029347,0.033641,0.033641,2359695638
2021-02-09,0.033627,0.040941,0.033517,0.037994,0.037994,3460103855
2021-02-10,0.037957,0.040629,0.034506,0.038114,0.038114,2451750839
2021-02-11,0.038098,0.048319,0.036961,0.047041,0.047041,3173135279
2021-02-12,0.047010,0.047365,0.043109,0.045645,0.045645,2866735709
2021-02-13,0.045639,0.050096,0.042823,0.049186,0.049186,2862830548
2021-02-14,0.049186,0.049438,0.043342,0.045826,0.045826,2530343105
2021-02-15,0.045793,0.046266,0.038548,0.041828,0.041828,2917375140
2021-02-16,0.041791,0.045314,0.040845,0.043161,0.043161,2292370620
2021-02-17,0.043176,0.044614,0.040644,0.043670,0.043670,1934460210
2021-02-18,0.043663,0.045920,0.043367,0.045476,0.045476,1412378355
2021-02-19,0.045480,0.052764,0.044867,0.050362,0.050362,2927232259
2021-02-20,0.050319,0.052379,0.046028,0.047895,0.047895,2548556037
2021-02-21,0.047857,0.050447,0.046745,0.049047,0.049047,1775039627
2021-02-22,0.049039,0.049055,0.039990,0.044702,0.044702,2386694471
2021-02-23,0.044692,0.044721,0.031911,0.036861,0.036861,2760929642
2021-02-24,0.036883,0.040883,0.035735,0.039466,0.039466,1957304500
2021-02-25,0.039458,0.040823,0.037175,0.037182,0.037182,1169389404
2021-02-26,0.037225,0.038715,0.035126,0.037420,0.037420,1564487273
2021-02-27,0.037439,0.039982,0.037439,0.038607,0.038607,1130657478
2021-02-28,0.038606,0.038796,0.035920,0.037754,0.037754,1403186908
2021-03-01,0.037764,0.039899,0.037341,0.039687,0.039687,1356137256
2021-03-02,0.039681,0.040551,0.037722,0.038766,0.038766,1162242943
2021-03-03,0.038772,0.041208,0.038606,0.040744,0.040744,1071932467
2021-03-04,0.040723,0.044297,0.040294,0.042934,0.042934,2433459224
2021-03-05,0.042927,0.042987,0.040727,0.042203,0.042203,1290144827
2021-03-06,0.042207,0.042580,0.041060,0.042204,0.042204,997336513
2021-03-07,0.042200,0.043463,0.042065,0.043368,0.043368,882254184
2021-03-08,0.043357,0.044899,0.042452,0.044565,0.044565,1413625959
2021-03-09,0.044587,0.045107,0.043845,0.044694,0.044694,1151069674
2021-03-10,0.044695,0.044862,0.042837,0.043203,0.043203,1308442432
2021-03-11,0.043175,0.043256,0.041700,0.042990,0.042990,1147896241
2021-03-12,0.042997,0.043132,0.041100,0.041865,0.041865,1128543579
2021-03-13,0.041869,0.045110,0.040982,0.044185,0.044185,1755633235
2021-03-14,0.044192,0.044959,0.042760,0.042929,0.042929,1228452121
2021-03-15,0.042920,0.043599,0.040864,0.042628,0.042628,1503452419
2021-03-16,0.042611,0.044417,0.041338,0.043940,0.043940,1459334199
2021-03-17,0.043952,0.046655,0.043696,0.045879,0.045879,1794114211
2021-03-18,0.045845,0.046070,0.044411,0.044954,0.044954,1147623066
2021-03-19,0.044948,0.049924,0.044159,0.049213,0.049213,1739753274
2021-03-20,0.049219,0.057159,0.049219,0.051128,0.051128,3758301845
2021-03-21,0.051131,0.054146,0.049284,0.053263,0.053263,2269420866
2021-03-22,0.053285,0.055614,0.049818,0.050086,0.050086,1897747170
2021-03-23,0.050061,0.051710,0.048795,0.049686,0.049686,1772405648
2021-03-24,0.049663,0.052520,0.046781,0.047473,0.047473,2014374458
2021-03-25,0.047441,0.047688,0.045484,0.047234,0.047234,1709240174
2021-03-26,0.047220,0.056050,0.047091,0.055027,0.055027,2597312468
2021-03-27,0.055020,0.057375,0.053557,0.054086,0.054086,2202684895
2021-03-28,0.054078,0.054822,0.052968,0.053930,0.053930,1291644113
2021-03-29,0.053955,0.055875,0.053800,0.055054,0.055054,1191598659
2021-03-30,0.055059,0.056877,0.054694,0.056371,0.056371,1505510188
2021-03-31,0.056373,0.082542,0.056089,0.078715,0.078715,10181655870
2021-04-01,0.078930,0.080581,0.070815,0.073116,0.073116,5633413694
2021-04-02,0.073101,0.079115,0.072108,0.078701,0.078701,3835714310
2021-04-03,0.078755,0.094533,0.075468,0.086801,0.086801,7972355056
2021-04-04,0.086826,0.110024,0.086127,0.109942,0.109942,9824014314
2021-04-05,0.109898,0.126272,0.109869,0.115702,0.115702,11824575206
2021-04-06,0.115925,0.117259,0.094460,0.104746,0.104746,8688657375
2021-04-07,0.104559,0.106072,0.087742,0.092891,0.092891,7994890945
2021-04-08,0.093223,0.105384,0.093174,0.103286,0.103286,5320286699
2021-04-09,0.103318,0.104714,0.096382,0.097417,0.097417,2971219656
2021-04-10,0.097424,0.107078,0.095010,0.105859,0.105859,3551688694
2021-04-11,0.106208,0.106551,0.099245,0.102851,0.102851,2933335290
2021-04-12,0.102805,0.115320,0.102454,0.108321,0.108321,5237309424
2021-04-13,0.108041,0.129896,0.107833,0.122385,0.122385,6890740326
2021-04-14,0.122512,0.130500,0.111398,0.117407,0.117407,6213245199
2021-04-15,0.117271,0.140848,0.113846,0.137558,0.137558,7253105656
2021-04-16,0.137289,0.148367,0.113650,0.135273,0.135273,7854549052
2021-04-17,0.134866,0.150171,0.128918,0.131394,0.131394,6394234713
2021-04-18,0.131303,0.132212,0.104239,0.119376,0.119376,6307356899
2021-04-19,0.119543,0.123683,0.107849,0.108158,0.108158,4373237996
2021-04-20,0.107885,0.112018,0.097410,0.110563,0.110563,4347509296
2021-04-21,0.110505,0.112419,0.102113,0.102253,0.102253,2512477430
2021-04-22,0.102027,0.107856,0.091152,0.091664,0.091664,3384742288
2021-04-23,0.091681,0.093511,0.075720,0.090114,0.090114,5203106009
2021-04-24,0.090180,0.094473,0.084550,0.084901,0.084901,3075068244
2021-04-25,0.084856,0.090779,0.080046,0.083932,0.083932,2101228604
2021-04-26,0.084109,0.097102,0.082993,0.097102,0.097102,2394833657
2021-04-27,0.097159,0.106552,0.095703,0.104055,0.104055,2515692043
2021-04-28,0.104172,0.107326,0.096613,0.101099,0.101099,1953842073
2021-04-29,0.101175,0.103330,0.097204,0.100017,0.100017,1544650389
2021-04-30,0.100003,0.110592,0.098117,0.110012,0.110012,1970949010
2021-05-01,0.110125,0.111023,0.106166,0.109075,0.109075,1609946821
2021-05-02,0.109031,0.109922,0.104445,0.106143,0.106143,1451985571
2021-05-03,0.106139,0.113225,0.106032,0.109140,0.109140,2272370509
2021-05-04,0.109209,0.109266,0.098287,0.099367,0.099367,2411246655
2021-05-05,0.099190,0.121883,0.098101,0.121883,0.121883,4296712535
2021-05-06,0.121999,0.131168,0.114656,0.125792,0.125792,5361047815
2021-05-07,0.126006,0.140234,0.114800,0.121415,0.121415,5570626332
2021-05-08,0.121339,0.125597,0.116345,0.117658,0.117658,2877897026
2021-05-09,0.117586,0.119770,0.111244,0.117393,0.117393,2833469423
2021-05-10,0.117433,0.121875,0.100520,0.104738,0.104738,3347342305
2021-05-11,0.104721,0.114661,0.100093,0.114314,0.114314,3375510380
2021-05-12,0.114371,0.121420,0.098280,0.098280,0.098280,3610742766
2021-05-13,0.098713,0.104628,0.089496,0.100584,0.100584,3972906236
2021-05-14,0.100628,0.105599,0.098818,0.102743,0.102743,2574205897
2021-05-15,0.102758,0.104534,0.097431,0.099367,0.099367,2708870171
2021-05-16,0.099255,0.107948,0.094599,0.098360,0.098360,2999689788
2021-05-17,0.098413,0.098466,0.089630,0.092847,0.092847,2540996021
2021-05-18,0.092703,0.098162,0.092165,0.095223,0.095223,1990498407
2021-05-19,0.095312,0.096445,0.052845,0.065183,0.065183,3830185564
2021-05-20,0.064919,0.076280,0.060521,0.073288,0.073288,2370338826
2021-05-21,0.073003,0.076202,0.058597,0.063975,0.063975,2164963051
2021-05-22,0.064084,0.065017,0.058432,0.061871,0.061871,1611697673
2021-05-23,0.061928,0.063350,0.045747,0.051870,0.051870,1897408177
2021-05-24,0.051712,0.062945,0.050887,0.062814,0.062814,2138920079
2021-05-25,0.063023,0.066227,0.058501,0.063103,0.063103,2055522566
2021-05-26,0.063081,0.068961,0.062143,0.068275,0.068275,2011323440
2021-05-27,0.068284,0.068309,0.062980,0.064916,0.064916,1542829723
2021-05-28,0.065128,0.065657,0.057699,0.059124,0.059124,1587480174
2021-05-29,0.059116,0.061045,0.055111,0.056414,0.056414,1407391778
2021-05-30,0.056397,0.059996,0.054668,0.059097,0.059097,1073631241
2021-05-31,0.059065,0.062882,0.057291,0.062882,0.062882,1077108726
2021-06-01,0.062835,0.063368,0.060353,0.062318,0.062318,1375601612
2021-06-02,0.062332,0.065136,0.061029,0.063918,0.063918,1072569779
2021-06-03,0.063946,0.068001,0.063276,0.067695,0.067695,1079473144
2021-06-04,0.067770,0.068379,0.061067,0.063491,0.063491,1321087817
2021-06-05,0.063477,0.065601,0.061075,0.062135,0.062135,1032760634
2021-06-06,0.062108,0.063708,0.061969,0.063701,0.063701,773817302
2021-06-07,0.063716,0.064630,0.058537,0.058744,0.058744,831974749
2021-06-08,0.058848,0.060174,0.055312,0.059668,0.059668,1285108035
2021-06-09,0.059585,0.061891,0.057569,0.061891,0.061891,1048644596
2021-06-10,0.061896,0.063350,0.058803,0.059647,0.059647,1223014439
2021-06-11,0.059653,0.060204,0.056628,0.057101,0.057101,1038187695
2021-06-12,0.057157,0.057157,0.054355,0.056255,0.056255,784032438
2021-06-13,0.056247,0.059357,0.055035,0.059090,0.059090,765882287
2021-06-14,0.059055,0.060159,0.057828,0.059604,0.059604,773786361
2021-06-15,0.059412,0.060321,0.058532,0.059838,0.059838,822751917
2021-06-16,0.059199,0.059978,0.057156,0.057455,0.057455,897824002
2021-06-17,0.057465,0.062066,0.057347,0.061968,0.061968,880136317
2021-06-18,0.062031,0.062769,0.057564,0.058654,0.058654,901997733
